,pn,description,actual_stock,ideal_stock,station,del_time,buy_freq,purchasing_method,min,max
73,BACB30NW5K4,Bolt,47.0000,0,KEF,30,100,low_sale,0,0
74,NAS6703-3,Bolt,42.0000,0,KEF,21,100,low_sale,0,0
75,LJ75011,Seal,4.0000,0,KEF,17,10,low_sale,0,0
76,BACB30NW5K5,Bolt,36.0000,0,KEF,8,100,low_sale,0,0
77,740007,Dischrgr Static Discharger,6.0000,0,KEF,22,10,low_sale,0,0
78,NAS1149F0363P,Washer,1473.0000,0,KEF,31,100,low_sale,0,0
79,NAS1611-115,Packing,22.0000,0,KEF,55,100,low_sale,0,0
80,BACB30NZ6K5,Bolt,21.0000,0,KEF,14,10,low_sale,0,0
81,BACB30VW8P06U,Rivet,22.0000,0,KEF,38,10,low_sale,0,0
82,BACB30MY8K7,Bolt,75.0000,0,KEF,6,10,low_sale,0,0
83,BACS21EE7R,Stud,69.0000,0,KEF,22,100,low_sale,0,0
84,LK76085,"Ring    Sealing,0uter-Shr0ud",4.0000,0,KEF,23,10,low_sale,0,0
85,AS568-275S59-70,Packing,12.0000,0,KEF,14,10,low_sale,0,0
86,BACB30NW10K7,Bolt,315.0000,0,KEF,9,10,low_sale,0,0
87,M81714-3DD1,Block   Terminal Block,19.0000,0,KEF,20,10,low_sale,0,0
88,BACB30NW5K2,Bolt,97.0000,0,KEF,13,100,low_sale,0,0
89,SL4102C14,Nut Barrel,10.0000,0,KEF,6,10,low_sale,0,0
90,E05802531511525,Velcro Hook 25mm Light Grey Adhesive,1000.0000,0,KEF,67,10,low_sale,0,0
91,327,Bulb,217.0000,0,KEF,12,100,low_sale,0,0
92,46365A87,Fbr Wool  Fiber Wool,22.0000,0,KEF,27,10,low_sale,0,0
93,BACB30NX6K8,Bolt,101.0000,0,KEF,30,100,low_sale,0,0
94,MS21140U0606,Rivet,82.0000,0,KEF,18,100,low_sale,0,0
95,2024T3-071,Aluminum Aluminum Sheet,655.0000,0,KEF,39,10,low_sale,0,0
96,ANN002-2,"Bag,Storage Lifevest,Adult",15.0000,0,KEF,113,10,low_sale,0,0
97,HV01400-00,Hydrolock,13.0000,0,KEF,58,10,low_sale,0,0
98,2-376S317-60,Packing Ring-O,11.0000,0,KEF,11,10,low_sale,0,0
99,NAS1149D0463H,Washer,673.0000,0,KEF,13,100,low_sale,0,0
100,BACR15DR3AC3,Rivet,595.0000,0,KEF,12,100,low_sale,0,0
101,BACC30BL6,Collar,113.0000,0,KEF,11,100,low_sale,0,0
102,BACR15BA6D16C,Rivet    Rivet,121.0000,0,KEF,21,10,low_sale,0,0
103,434-1031-2001,Base Ay Light Indicator,6.0000,0,KEF,15,10,low_sale,0,0
104,5113WW,Lamp Lamp-Fluorescent,77.0000,0,KEF,64,10,low_sale,0,0
105,NAS1611-011,Packing,162.0000,0,KEF,30,10,low_sale,0,0
106,H602S125C353,Latch,3.0000,0,KEF,10,10,low_sale,0,0
107,BACS12CK08-12,Screw,77.0000,0,KEF,23,10,low_sale,0,0
108,10-61978BCTE,Dec Lam,19.0000,0,KEF,23,10,low_sale,0,0
109,RTV108,Seal    Adhesive Seal 83 ML TUBES,6.0000,0,KEF,27,10,low_sale,0,0
110,BHV7093L,"BATTERY, STÓR ( I VASALJOS ), VARTA D",247.0000,0,KEF,8,100,low_sale,0,0
111,MS28782-18,Retainer,67.0000,0,KEF,21,100,low_sale,0,0
112,BACB30LH3-4,Bolt,179.0000,0,KEF,10,100,low_sale,0,0
113,S9413-012,Packing,62.0000,0,KEF,24,100,low_sale,0,0
114,63-495,Nut,805.0000,0,KEF,71,10,low_sale,0,0
115,MS24665-134,Pin,683.0000,0,KEF,10,10,low_sale,0,0
116,SDI16202-020,Flapper Flapper Assy,47.0000,0,KEF,32,10,low_sale,0,0
117,BACB30NW6K11X,Bolt,117.0000,0,KEF,21,100,low_sale,0,0
118,KB27154,Ring    Seal,27.0000,0,KEF,35,10,low_sale,0,0
119,2-329N674-70,Packing,18.0000,0,KEF,11,100,low_sale,0,0
120,SLP5182A3-1,Plug,825.0000,0,KEF,41,100,low_sale,0,0
121,BACS12CK3-5,Screw,625.0000,0,KEF,12,100,low_sale,0,0
122,4670,Gasket Gasket-Drain Valve,19.0000,0,KEF,95,10,low_sale,0,0
123,NAS1303-4,Bolt,175.0000,0,KEF,8,100,low_sale,0,0
124,322338,Terminal,66.0000,0,KEF,31,100,low_sale,0,0
125,411N3210-90,Filter Plenum  Ceiling  Lowered,74.0000,0,KEF,21,10,low_sale,0,0
126,42FLW720,Nut     (Add Info),294.0000,0,KEF,85,10,low_sale,0,0
127,HL70-6,Collar,210.0000,0,KEF,76,100,low_sale,0,0
128,BACR13CG2AB,Relay,12.0000,0,KEF,31,10,low_sale,0,0
129,CD01068F4,HEPA FILTER,23.0000,0,KEF,18,10,low_sale,0,0
130,CR3224-5-3,Rivet,48.0000,0,KEF,47,10,low_sale,0,0
131,E05805001011525,Velcro Hook 50mm White Adhesive,71.0000,0,KEF,196,100,low_sale,0,0
132,NAS1801-3-9,Screw,426.0000,0,KEF,23,100,low_sale,0,0
133,BACW10BP8CD,Washer,291.0000,0,KEF,5,100,low_sale,0,0
134,RS1SG,"Cartridge,Rs-1sg For Versa-Pure Ac-2",28.0000,0,KEF,28,10,low_sale,0,0
